TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,Total1M,Deaths1M,TotalTests,Tests1M,Population,Mainland
Laos,19,0,0,0,19,0,0,3,0,9703,1335,7270167,Asia
Saint Lucia,19,0,0,0,18,1,0,103,0,1264,6885,183588,North America
Dominica,18,0,0,0,16,2,0,250,0,534,7419,71978,North America
Fiji,18,0,0,0,18,0,0,20,0,2431,2713,896138,Australia/Oceania
Saint Kitts and Nevis,15,0,0,0,15,0,0,282,0,417,7841,53181,North America
Falkland Islands,13,0,0,0,13,0,0,3742,0,671,193149,3474,South America
Greenland,13,0,0,0,13,0,0,229,0,2511,44234,56766,North America
Turks and Caicos,12,0,1,0,11,0,0,310,26,192,4962,38691,North America
Vatican City,12,0,0,0,12,0,0,14981,0,0,0,801,Europe
Montserrat,11,0,1,0,10,0,0,2204,200,61,12220,4992,North America
Seychelles,11,0,0,0,11,0,0,112,0,0,0,98319,Africa
Western Sahara,9,0,1,0,6,2,0,15,2,0,0,596509,Africa
British Virgin Islands,8,0,1,0,7,0,0,265,33,212,7015,30222,North America
Papua New Guinea,8,0,0,0,8,0,0,0.9,0,5281,591,8937965,Australia/Oceania
Caribbean Netherlands,7,0,0,0,7,0,0,267,0,424,16176,26211,North America
St. Barth,6,0,0,0,6,0,0,608,0,152,15391,9876,North America
Lesotho,4,0,0,0,2,2,0,2,0,1515,707,2141440,Africa
Anguilla,3,0,0,0,3,0,0,200,0,41,2734,14997,North America
Saint Pierre Miquelon,1,0,0,0,1,0,0,173,0,0,0,5795,North America
China,83075,11,4634,0,78367,74,0,58,3,0,0,1439323776,Asia
